General:Pos	"General:Sample Name"
A1	pos PIV1
A2	pos PIV3
A3	Std E3
A4	neg Kit
A5	V2087089
A6	V2087090
A7	V2086757
A8	V2086758
A9	V2087091
A10	V2086839
A11	V2087092
A12	V2087093
B1	V2087094
B2	V2086840
B3	V2086842
B4	V2087095
B5	V2087096
B6	V2087097
B7	V2086843
B8	V2086844
B9	V2086845
B10	V2087107
B11	V2086846
B12	V2087113
C1	V2087114
C2	V2086847
C3	V2087115
C4	V2087116
C5	V2086848
C6	V2086859
C7	V2087117
C8	V2087118
C9	V2087119
C10	V2087120
C11	V2086887
C12	V2086888
D1	V2087121
D2	V2087122
D3	V2087123
D4	V2087124
D5	V2086956
D6	V2087125
D7	V2087126
D8	V2087127
D9	V2086957
D10	V2087128
D11	V2086975
D12	V2087129
